epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
61,220.868,0.47859,0.46837,0.44669,0.9077,0,0.9782,1,0.995,0.93429,0.9782,1,0.995,0.86971,0.4283,0.36071,0.38718,0.85268,0,0.000676802,0.000676802,0.000676802
62,224.201,0.45914,0.48384,0.4523,0.87391,0,0.9799,1,0.995,0.9562,0.9799,1,0.995,0.88377,0.38623,0.34294,0.3778,0.84661,0,0.000660299,0.000660299,0.000660299
63,227.796,0.46004,0.51367,0.44131,0.87486,0,0.98111,1,0.995,0.93062,0.98111,1,0.995,0.87684,0.43308,0.33922,0.38751,0.84587,0,0.000643795,0.000643795,0.000643795
64,231.23,0.50425,0.49142,0.45035,0.89854,0,0.98249,1,0.995,0.92406,0.98249,1,0.995,0.87798,0.42911,0.33012,0.36812,0.84725,0,0.000627292,0.000627292,0.000627292
65,234.599,0.4048,0.44191,0.4097,0.88066,0,0.9799,1,0.995,0.91666,0.9799,1,0.995,0.87879,0.40003,0.35704,0.34183,0.84635,0,0.000610789,0.000610789,0.000610789
66,237.896,0.42588,0.46418,0.41371,0.87946,0,0.98406,1,0.995,0.91398,0.98406,1,0.995,0.83809,0.44534,0.47004,0.3771,0.8575,0,0.000594286,0.000594286,0.000594286
67,241.17,0.46978,0.45022,0.43237,0.88403,0,0.98866,0.95738,0.99063,0.90873,0.98866,0.95738,0.99063,0.77509,0.45143,0.77961,0.38805,0.87178,0,0.000577782,0.000577782,0.000577782
68,244.53,0.45149,0.42093,0.44329,0.90073,0,0.97973,1,0.995,0.92172,0.97973,1,0.995,0.84235,0.41609,0.47985,0.36466,0.84284,0,0.000561279,0.000561279,0.000561279
69,247.784,0.43046,0.43147,0.4026,0.88463,0,0.97413,1,0.995,0.93576,0.97413,1,0.995,0.85704,0.39445,0.45795,0.35083,0.82891,0,0.000544776,0.000544776,0.000544776
70,251.106,0.46203,0.45363,0.4108,0.91543,0,0.98816,1,0.995,0.94785,0.98816,1,0.995,0.84417,0.36772,0.45153,0.33764,0.82526,0,0.000528272,0.000528272,0.000528272
71,254.352,0.42758,0.43826,0.41101,0.86353,0,0.98974,1,0.995,0.9534,0.98974,1,0.995,0.8586,0.36819,0.45368,0.32487,0.82931,0,0.000511769,0.000511769,0.000511769
72,257.686,0.39525,0.4122,0.38916,0.88281,0,0.99138,1,0.995,0.94978,0.99138,1,0.995,0.86707,0.35305,0.41948,0.34223,0.81947,0,0.000495266,0.000495266,0.000495266
73,260.915,0.43925,0.44328,0.42193,0.89528,0,0.95995,1,0.995,0.95547,0.95995,1,0.995,0.87712,0.35007,0.40862,0.3626,0.80635,0,0.000478762,0.000478762,0.000478762
74,264.229,0.46722,0.45883,0.483,0.89094,0,0.9822,1,0.995,0.96165,0.9822,1,0.995,0.88165,0.32505,0.40708,0.32236,0.793,0,0.000462259,0.000462259,0.000462259
75,267.723,0.46639,0.47061,0.46695,0.88502,0,0.97767,1,0.995,0.96252,0.97767,1,0.995,0.88655,0.3159,0.37325,0.30642,0.78512,0,0.000445756,0.000445756,0.000445756
76,271.271,0.45569,0.4455,0.43163,0.91764,0,0.98482,1,0.995,0.96167,0.98482,1,0.995,0.89194,0.33971,0.3563,0.30422,0.79295,0,0.000429253,0.000429253,0.000429253
